--------- beginning of main
05-24 14:44:15.089 16338 16358 I Unity   : MemoryManager: Using 'Dynamic Heap' Allocator.
05-24 14:44:15.102 16338 16358 I Unity   : SystemInfo CPU = ARM64 FP ASIMD AES, Cores = 3, Memory = 5840mb
05-24 14:44:15.102 16338 16358 I Unity   : SystemInfo ARM big.LITTLE configuration: 3 big (mask: 0x70), 0 little (mask: 0x0)
05-24 14:44:15.102 16338 16358 I Unity   : XR UsableCoreMask: 0x70
05-24 14:44:15.102 16338 16358 I Unity   : ApplicationInfo com.Group12.Yiyuan24 version 0.1
05-24 14:44:15.102 16338 16358 I Unity   : Built from '2022.2/staging' branch, Version '2022.2.9f1 (1cc571a6ec95)', Build type 'Release', Scripting Backend 'il2cpp', CPU 'arm64-v8a', Stripping 'Enabled'
05-24 14:44:15.246 16338 16358 I Unity   : Company Name: Group12
05-24 14:44:15.246 16338 16358 I Unity   : Product Name: Yiyuan24
05-24 14:44:15.248 16338 16358 D Unity   : loading library OVRPlugin
05-24 14:44:15.434 16338 16358 I Unity   : XRGeneral Settings awakening...
05-24 14:44:15.434 16338 16358 I Unity   : UnityEngine.XR.Management.XRGeneralSettings:Awake()
05-24 14:44:15.434 16338 16358 I Unity   : 
05-24 14:44:15.686 16338 16358 D Unity   : initOculus Java!
05-24 14:44:15.686 16338 16338 D Unity   : Oculus UI thread done.
05-24 14:44:20.217 16338 16358 E Unity   : DllNotFoundException: Unable to load DLL 'AudioPluginOculusSpatializer'. Tried the load the following dynamic libraries: Unable to load dynamic library 'AudioPluginOculusSpatializer' because of 'Failed to open the requested dynamic library (0x06000000) dlerror() = dlopen failed: library "AudioPluginOculusSpatializer" not found
05-24 14:44:20.217 16338 16358 E Unity   :   at ONSPAudioSource.OSP_SetGlobalVoiceLimit (System.Int32 VoiceLimit) [0x00000] in <00000000000000000000000000000000>:0 
05-24 14:44:20.217 16338 16358 E Unity   : 
05-24 14:44:20.245 16338 16358 I Unity   : Unity v2022.2.9f1, Oculus Utilities v1.82.0, OVRPlugin v1.82.0, SDK v1.0.26.
05-24 14:44:20.245 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:20.245 16338 16358 I Unity   : 
05-24 14:44:20.247 16338 16358 I Unity   : SystemHeadset Oculus_Quest_2, API OpenXR
05-24 14:44:20.247 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:20.247 16338 16358 I Unity   : 
05-24 14:44:20.248 16338 16358 I Unity   : OpenXR instance 0x100000000000002 session 0x200000000000020
05-24 14:44:20.248 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:20.248 16338 16358 I Unity   : 
05-24 14:44:20.252 16338 16358 I Unity   : OVRPlugin.Media not initialized
05-24 14:44:20.252 16338 16358 I Unity   : OVRManager:StaticInitializeMixedRealityCapture(OVRMixedRealityCaptureConfiguration)
05-24 14:44:20.252 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:20.252 16338 16358 I Unity   : 
05-24 14:44:20.256 16338 16358 I Unity   : Current display frequency 72, available frequencies [60, 60, 72, 72, 80, 80, 90, 90, 120, 120]
05-24 14:44:20.256 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:20.256 16338 16358 I Unity   : 
05-24 14:44:20.258 16338 16358 W Unity   : Local Dimming feature is not supported
05-24 14:44:20.258 16338 16358 W Unity   : OVRManager:InitOVRManager()
05-24 14:44:20.258 16338 16358 W Unity   : 
05-24 14:44:20.273 16338 16358 I Unity   : OVRControllerHelp: Active controller type: Quest2 for product Oculus Quest (headset Oculus_Quest_2, hand HandRight)
05-24 14:44:20.273 16338 16358 I Unity   : OVRControllerHelper:InitializeControllerModels()
05-24 14:44:20.273 16338 16358 I Unity   : 
05-24 14:44:20.274 16338 16358 I Unity   : OVRControllerHelp: Active controller type: Quest2 for product Oculus Quest (headset Oculus_Quest_2, hand HandLeft)
05-24 14:44:20.274 16338 16358 I Unity   : OVRControllerHelper:InitializeControllerModels()
05-24 14:44:20.274 16338 16358 I Unity   : 
05-24 14:44:20.278 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:20.278 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:20.278 16338 16358 I Unity   : 
05-24 14:44:20.279 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:20.279 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:20.279 16338 16358 I Unity   : 
05-24 14:44:20.283 16338 16358 I Unity   : The current MSAA level is 0, but the recommended MSAA level is 4. Switching to the recommended level.
05-24 14:44:20.283 16338 16358 I Unity   : OVRManager:Update()
05-24 14:44:20.283 16338 16358 I Unity   : 
05-24 14:44:20.283 16338 16358 I Unity   : [OVRManager] HMDAcquired event
05-24 14:44:20.283 16338 16358 I Unity   : OVRManager:Update()
05-24 14:44:20.283 16338 16358 I Unity   : 
05-24 14:44:20.284 16338 16358 I Unity   : [OVRManager] HMDMounted event
05-24 14:44:20.284 16338 16358 I Unity   : OVRManager:Update()
05-24 14:44:20.284 16338 16358 I Unity   : 
05-24 14:44:20.285 16338 16358 I Unity   : [OVRManager] VrFocusAcquired event
05-24 14:44:20.285 16338 16358 I Unity   : OVRManager:Update()
05-24 14:44:20.285 16338 16358 I Unity   : 
05-24 14:44:20.287 16338 16358 I Unity   : [OVRManager] TrackingAcquired event
05-24 14:44:20.287 16338 16358 I Unity   : OVRManager:Update()
05-24 14:44:20.287 16338 16358 I Unity   : 
05-24 14:44:20.372 16338 16358 W Unity   : Ignoring depth surface store action as it is memoryless
05-24 14:44:22.215 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:22.215 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:22.215 16338 16358 I Unity   : 
05-24 14:44:22.295 16338 16429 W Unity   : The referenced script on this Behaviour (Game Object 'Customer') is missing!
05-24 14:44:22.296 16338 16429 W Unity   : The referenced script on this Behaviour (Game Object 'Customer') is missing!
05-24 14:44:22.389 16338 16358 I Unity   : [OVRManager] OnDestroy
05-24 14:44:22.389 16338 16358 I Unity   : OVRManager:OnDestroy()
05-24 14:44:22.389 16338 16358 I Unity   : 
05-24 14:44:23.207 16338 16358 I Unity   : Unity v2022.2.9f1, Oculus Utilities v1.82.0, OVRPlugin v1.82.0, SDK v1.0.26.
05-24 14:44:23.207 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:23.207 16338 16358 I Unity   : 
05-24 14:44:23.207 16338 16358 I Unity   : SystemHeadset Oculus_Quest_2, API OpenXR
05-24 14:44:23.207 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:23.207 16338 16358 I Unity   : 
05-24 14:44:23.208 16338 16358 I Unity   : OpenXR instance 0x100000000000002 session 0x200000000000020
05-24 14:44:23.208 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:23.208 16338 16358 I Unity   : 
05-24 14:44:23.208 16338 16358 I Unity   : Current display frequency 72, available frequencies [60, 60, 72, 72, 80, 80, 90, 90, 120, 120]
05-24 14:44:23.208 16338 16358 I Unity   : OVRManager:InitOVRManager()
05-24 14:44:23.208 16338 16358 I Unity   : 
05-24 14:44:23.208 16338 16358 W Unity   : Local Dimming feature is not supported
05-24 14:44:23.208 16338 16358 W Unity   : OVRManager:InitOVRManager()
05-24 14:44:23.208 16338 16358 W Unity   : 
05-24 14:44:23.235 16338 16358 I Unity   : Inside start door 
05-24 14:44:23.235 16338 16358 I Unity   : DoorScript:Start()
05-24 14:44:23.235 16338 16358 I Unity   : 
05-24 14:44:23.236 16338 16358 I Unity   : OVRControllerHelp: Active controller type: Quest2 for product Oculus Quest (headset Oculus_Quest_2, hand HandRight)
05-24 14:44:23.236 16338 16358 I Unity   : OVRControllerHelper:InitializeControllerModels()
05-24 14:44:23.236 16338 16358 I Unity   : 
05-24 14:44:23.239 16338 16358 I Unity   : OVRControllerHelp: Active controller type: Quest2 for product Oculus Quest (headset Oculus_Quest_2, hand HandLeft)
05-24 14:44:23.239 16338 16358 I Unity   : OVRControllerHelper:InitializeControllerModels()
05-24 14:44:23.239 16338 16358 I Unity   : 
05-24 14:44:23.242 16338 16358 I Unity   : trigger enter
05-24 14:44:23.242 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:23.242 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:23.242 16338 16358 I Unity   : 
05-24 14:44:23.243 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:23.243 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:23.243 16338 16358 I Unity   : 
05-24 14:44:23.243 16338 16358 I Unity   : Inside Door OnTriggerEnter 
05-24 14:44:23.243 16338 16358 I Unity   : DoorScript:OnTriggerEnter(Collider)
05-24 14:44:23.243 16338 16358 I Unity   : 
05-24 14:44:23.244 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:23.244 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:23.244 16338 16358 I Unity   : 
05-24 14:44:23.244 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:23.244 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:23.244 16338 16358 I Unity   : 
05-24 14:44:23.304 16338 16358 W Unity   : Ignoring depth surface store action as it is memoryless
05-24 14:44:23.332 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:23.332 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:23.332 16338 16358 I Unity   : 
05-24 14:44:23.333 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:23.333 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:23.333 16338 16358 I Unity   : 
05-24 14:44:23.350 16338 16358 I Unity   : OnTriggerEnter() OVRPlayerController 
05-24 14:44:23.350 16338 16358 I Unity   : MainPlayerController:OnTriggerEnter(Collider)
05-24 14:44:23.350 16338 16358 I Unity   : 
05-24 14:44:23.416 16338 16358 I Unity   : trigger enter
05-24 14:44:25.139 16338 16358 I Unity   : LeftHandAnchor closed
05-24 14:44:25.139 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:25.139 16338 16358 I Unity   : 
05-24 14:44:27.172 16338 16358 I Unity   : Inside Door OnTriggerEnter 
05-24 14:44:27.172 16338 16358 I Unity   : DoorScript:OnTriggerEnter(Collider)
05-24 14:44:27.172 16338 16358 I Unity   : 
05-24 14:44:27.449 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:27.449 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:27.449 16338 16358 I Unity   : 
05-24 14:44:27.462 16338 16358 I Unity   : !!!!!!!! TriggerHapticFeedback()
05-24 14:44:27.462 16338 16358 I Unity   : HapticFeedback:RightShortVibration()
05-24 14:44:27.462 16338 16358 I Unity   : DoorScript:OpenDoor(Single)
05-24 14:44:27.462 16338 16358 I Unity   : DoorScript:OnTriggerStay(Collider)
05-24 14:44:27.462 16338 16358 I Unity   : 
05-24 14:44:27.464 16338 16358 I Unity   : !!!!!!!! TriggerHapticFeedback()
05-24 14:44:27.464 16338 16358 I Unity   : HapticFeedback:LeftShortVibration()
05-24 14:44:27.464 16338 16358 I Unity   : DoorScript:OpenDoor(Single)
05-24 14:44:27.464 16338 16358 I Unity   : DoorScript:OnTriggerStay(Collider)
05-24 14:44:27.464 16338 16358 I Unity   : 
05-24 14:44:28.201 16338 16358 I Unity   : RightHandAnchor closed
05-24 14:44:28.201 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:28.201 16338 16358 I Unity   : 
05-24 14:44:28.201 16338 16358 I Unity   : RightHandAnchor grasped Tomato
05-24 14:44:28.201 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:28.201 16338 16358 I Unity   : 
05-24 14:44:29.079 16338 16358 I Unity   : trigger enter
05-24 14:44:29.149 16338 16358 I Unity   : RightHandAnchor released Tomato
05-24 14:44:29.149 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:29.149 16338 16358 I Unity   : 
05-24 14:44:29.150 16338 16358 I Unity   : detach_from {0}(-0.15, -0.31, -0.06)
05-24 14:44:29.150 16338 16358 I Unity   : Grabbable:detach_from(HandController, Vector3, Vector3)
05-24 14:44:29.150 16338 16358 I Unity   : HandController:handle_controller_behavior()
05-24 14:44:29.150 16338 16358 I Unity   : 
05-24 14:44:29.150 16338 16358 I Unity   :  hand releasing velocity (-0.15, -0.31, -0.06)
